Team Region,Seed,Seed_Prediction,Fragility_Score,Total Region Championships,Region Difficulty
East,8.5,9.1,0.42610000000000003,0.346,0.35018188218727997
Midwest,6.818181818181818,7.363636363636363,0.49790000000000006,0.22460000000000002,0.24348856104730776
South,7.857142857142857,8.071428571428571,0.4391,0.2921,0.3296424097992648
West,7.818181818181818,8.090909090909092,0.2905,0.1373,0.233631278360194
